,City,Country,Major_Geo_Region,HDI_level,Climate_region,WHO_region,annual_avg_2010,peak_NDVI_2010,annual_weight_avg_2010,peak_weight_2010,indicator_2010,annual_avg_2015,peak_NDVI_2015,annual_weight_avg_2015,indicator_2015,peak_weight_2015,annual_avg_2020,peak_NDVI_2020,annual_weight_avg_2020,peak_weight_2020,indicator_2020,annual_avg_2021,peak_NDVI_2021,annual_weight_avg_2021,indicator_2021,peak_weight_2021
233,Cordoba,Argentina,Latin America and the Caribbean,Very high,Temperate,Americas,0.281506893,0.350608423,0.273343595,0.341723029,Low,0.303576486,0.382422362,0.295920478,Low,0.372562155,0.292153184,0.359528423,0.284755466,0.349922502,Low,0.265148749,0.319043765,0.256908527,Low,0.309939768
234,Cotonou,Benin,Africa,Low,Tropical,Africa,0.185188463,0.227393453,0.099281179,0.144780242,Exceptionally Low,0.253398274,0.296849576,0.201026976,Very Low,0.234225938,0.252833758,0.286138967,0.212921295,0.236128073,Very Low,0.262920235,0.29324824,0.223346189,Very Low,0.250624335
235,Cúcuta,Colombia,Latin America and the Caribbean,High,Tropical,Americas,0.227190117,0.311686951,0.221378998,0.310736901,Low,0.254206393,0.28161507,0.254465872,Very Low,0.282053797,0.25728307,0.308573776,0.256840156,0.307858622,Low,0.307616744,0.313287212,0.30582956,Low,0.311078319
236,Cuernavaca,Mexico,Latin America and the Caribbean,High,Tropical,Americas,0.306582159,0.351342607,0.274830458,0.310274096,Low,0.372418316,0.444833473,0.337411058,Low,0.39752176,0.363695259,0.43746399,0.326349384,0.387183188,Low,0.35899093,0.432712579,0.322679964,Low,0.383560072
237,Cuiabá,Brazil,Latin America and the Caribbean,High,Tropical,Americas,0.299377208,0.384407856,0.267450851,0.338583692,Low,0.3776094,0.429064001,0.333426094,Low,0.377364664,0.339461215,0.398965084,0.299070948,0.347028634,Low,0.318398132,0.369614956,0.280951737,Low,0.320055921
238,Culiacán,Mexico,Latin America and the Caribbean,High,Arid,Americas,0.168952089,0.244555118,0.140559454,0.207693573,Very Low,0.255439059,0.333541764,0.219696434,Very Low,0.284861064,0.237546685,0.260928572,0.206958761,0.227192309,Very Low,0.226193193,0.286086057,0.195135214,Very Low,0.244433573
239,Curitiba,Brazil,Latin America and the Caribbean,High,Temperate,Americas,0.322274249,0.35827331,0.270357131,0.285782043,Very Low,0.370906426,0.401794247,0.319604351,Low,0.347672429,0.35571758,0.384391016,0.305655047,0.330806704,Low,0.33777124,0.36767014,0.291188317,Low,0.315777464
240,Cuttack,India,Asia,Medium,Tropical,South-East Asia,0.250545923,0.342862984,0.224440398,0.335977764,Low,0.290722882,0.345453277,0.283989181,Low,0.338137946,0.307106796,0.369557824,0.294502096,0.354231199,Low,0.291724771,0.382271607,0.281681251,Low,0.369562244
241,Da Nang,Vietnam,Asia,High,Tropical,Western Pacific,0.242800324,0.288513938,0.128802673,0.181478819,Exceptionally Low,0.273509506,0.322379029,0.230611234,Very Low,0.28197928,0.297229142,0.313504223,0.256785488,0.27510214,Very Low,0.25869353,0.320940007,0.223277331,Very Low,0.275116759
242,Daegu,Republic of Korea,Asia,Very high,Continental,Western Pacific,0.247490094,0.313028217,0.243091592,0.313278925,Low,0.293802682,0.390003769,0.283307465,Low,0.379448686,0.301406759,0.390243608,0.287327103,0.370392718,Low,0.307511047,0.388814253,0.292661544,Low,0.370380385
243,Daejeon,Republic of Korea,Asia,Very high,Continental,Western Pacific,0.254867276,0.361987363,0.258626337,0.366424817,Low,0.311482124,0.404870177,0.322829668,Moderate,0.422933418,0.30023916,0.405183442,0.314411534,0.426617563,Moderate,0.30946413,0.407239119,0.321371684,Moderate,0.422135101
244,Daganbhuiyan,Bangladesh,Asia,Medium,Tropical,South-East Asia,0.403327682,0.541151761,0.298445764,0.54164789,High,0.475862126,0.596802258,0.475557845,High,0.597516335,0.454316759,0.541486267,0.44950847,0.539745595,High,0.407142388,0.585142668,0.40728082,High,0.587765516
245,Dagupan,Philippines,Asia,High,Tropical,Western Pacific,0.319425199,0.381096394,0.224822461,0.356360725,Low,0.42624453,0.450165778,0.39735653,Moderate,0.416920285,0.439259344,0.478509836,0.411255768,0.44752969,Moderate,0.44653356,0.48035222,0.416434744,Moderate,0.440965635
246,Dakar,Senegal,Africa,Low,Arid,Africa,0.122919331,0.174640026,0.087112752,0.103080287,Exceptionally Low,0.132253041,0.182514851,0.1264924,Exceptionally Low,0.170605199,0.133814277,0.168944464,0.129743615,0.161279736,Exceptionally Low,0.140638545,0.184445842,0.136373881,Exceptionally Low,0.176409621
247,Dalian,China,Asia,High,Continental,Western Pacific,0.132676689,0.213317753,0.135739947,0.226191108,Very Low,0.176374663,0.241420392,0.185686616,Very Low,0.260692956,0.176566377,0.276753815,0.181267085,0.293999917,Very Low,0.190729133,0.309739609,0.198715569,Low,0.332319467
248,Dallas,United States of America,Northern America,Very high,Temperate,Americas,0.307830672,0.359128128,0.308281939,0.357559974,Low,0.350395468,0.411260285,0.352556679,Moderate,0.408124571,0.362368793,0.410028794,0.367656469,0.418439113,Moderate,0.288592174,0.400245162,0.295259449,Moderate,0.407475938
249,Damascus,Syrian Arab Republic,Asia,Medium,Arid,Eastern Mediterranean,0.168789763,0.192411366,0.112048759,0.175407894,Exceptionally Low,0.184155049,0.221921354,0.177075618,Very Low,0.205750736,0.20677286,0.250096913,0.1965956,0.2321114,Very Low,0.201946624,0.262129295,0.195089073,Very Low,0.246342929
250,Damietta,Egypt,Africa,High,Arid,Eastern Mediterranean,0.255117353,0.301892032,0.157283825,0.260474857,Very Low,0.308233564,0.327914663,0.266800084,Very Low,0.278246774,0.287780745,0.32061648,0.246457476,0.271097028,Very Low,0.274005843,0.281476371,0.2334092,Very Low,0.239170563
251,Dammam,Saudi Arabia,Asia,Very high,Arid,Eastern Mediterranean,0.057161921,0.06417702,0.046606705,0.070279245,Exceptionally Low,0.090372611,0.092132482,0.095752346,Exceptionally Low,0.097801962,0.096795571,0.098559997,0.101959544,0.103453469,Exceptionally Low,0.090184714,0.093941268,0.094812503,Exceptionally Low,0.098877582
252,Dandong,Democratic People's Republic of Korea,Asia,Very high,Continental,South-East Asia,0.16503066,0.327867225,0.194738936,0.381080358,Low,0.269504907,0.382202866,0.310648805,Moderate,0.428078093,0.235217225,0.31965046,0.284714343,0.377341386,Low,0.226257119,0.409254312,0.259216938,Moderate,0.459528188
253,Dar es Salaam,United Republic of Tanzania,Africa,Low,Tropical,Eastern Mediterranean,0.269954231,0.339191166,0.158010621,0.254756645,Very Low,0.286431275,0.326377381,0.230151924,Very Low,0.26728301,0.324265802,0.378311691,0.25757069,0.299576874,Very Low,0.314812494,0.375668883,0.255730819,Low,0.305301817
254,Darbhanga,India,Asia,Medium,Temperate,South-East Asia,0.276396214,0.341515043,0.25008664,0.33438811,Low,0.387725895,0.454004661,0.380937814,Moderate,0.449902754,0.350163265,0.394763702,0.344271821,0.392665807,Low,0.341785473,0.427516703,0.337008038,Moderate,0.422930372
255,Darjeeling,India,Asia,Medium,Temperate,South-East Asia,0.39019805,0.515529724,0.392495878,0.519485059,High,0.414149562,0.563663374,0.41701091,High,0.567210289,0.44523453,0.597732643,0.447066866,0.601537135,Very High,0.439747204,0.581519651,0.442844435,High,0.585247857
256,Datong,China,Asia,High,Arid,Western Pacific,0.083795742,0.12547259,0.087488379,0.135639035,Exceptionally Low,0.156942832,0.264015227,0.163018009,Very Low,0.274843073,0.166029376,0.246436861,0.168134631,0.248965586,Very Low,0.175378893,0.270158531,0.179492298,Very Low,0.272796471
257,Davanagere,India,Asia,Medium,Arid,South-East Asia,0.241614199,0.280032478,0.239338333,0.281136016,Very Low,0.320552349,0.38699927,0.321465227,Low,0.388515748,0.293217407,0.371086274,0.292999033,0.371270907,Low,0.35367155,0.408294613,0.353725102,Moderate,0.408786241
258,Davao City,Philippines,Asia,High,Tropical,Western Pacific,0.333175629,0.347360802,0.238754369,0.248306467,Very Low,0.358017159,0.374920779,0.264154036,Very Low,0.279363657,0.32336376,0.345263147,0.234340791,0.250941937,Very Low,0.34359874,0.35017866,0.251305305,Very Low,0.258826448
259,Dazhou,China,Asia,High,Temperate,Western Pacific,0.223496139,0.350634815,0.221315189,0.308046189,Low,0.316292204,0.41468435,0.345325582,Moderate,0.446788896,0.202717093,0.242522884,0.220627308,0.276018972,Very Low,0.278395044,0.410495796,0.306165666,Moderate,0.451106482
260,Deesa,India,Asia,Medium,Arid,South-East Asia,0.217720079,0.296048888,0.217460372,0.29428536,Very Low,0.290781727,0.324489877,0.289869255,Low,0.322801581,0.278005988,0.324807832,0.276628425,0.324150987,Low,0.261830021,0.278342553,0.261284775,Very Low,0.278424518
261,Dehradun,India,Asia,Medium,Temperate,South-East Asia,0.228458963,0.369234255,0.220312263,0.367277215,Low,0.361637588,0.432577062,0.361131031,Moderate,0.431038154,0.355422977,0.399762502,0.355194607,0.399324367,Low,0.338927796,0.410945684,0.339166298,Moderate,0.410330126
262,Delhi [New Delhi],India,Asia,Medium,Arid,South-East Asia,0.169901905,0.203347534,0.14025642,0.169073095,Exceptionally Low,0.245210471,0.310871024,0.220823523,Very Low,0.276179773,0.264292656,0.285036609,0.24339224,0.267053748,Very Low,0.270343438,0.338279744,0.247937836,Low,0.302929132
263,Denizli,Turkey,Asia,Very high,Temperate,Europe,0.21804106,0.281326413,0.108845488,0.281013172,Very Low,0.26491861,0.315331381,0.264054772,Low,0.31410102,0.232311186,0.273731368,0.232133614,0.273491665,Very Low,0.208415609,0.235547604,0.208428739,Very Low,0.23525576
264,Denpasar,Indonesia,Asia,High,Tropical,South-East Asia,0.366322254,0.39839901,0.257022785,0.371379377,Low,0.41796952,0.469394441,0.390839954,Moderate,0.439433695,0.392740464,0.418516614,0.35252272,0.375315601,Low,0.391891461,0.409322037,0.359375767,Low,0.373211587
265,Denver,United States of America,Northern America,Very high,Arid,Americas,0.247365101,0.328203334,0.25670332,0.33843367,Low,0.304925118,0.377621846,0.311706275,Low,0.387294645,0.278181925,0.337283786,0.288454703,0.352872855,Low,0.281468174,0.353841647,0.290344352,Low,0.363163521
266,Deoria,India,Asia,Medium,Temperate,South-East Asia,0.222048951,0.347096729,0.207563487,0.308204286,Low,0.300820441,0.37704553,0.300403791,Low,0.376407246,0.327195355,0.359841868,0.326803048,0.360211633,Low,0.315834123,0.451217644,0.315852902,Moderate,0.450827668
267,Detroit,United States of America,Northern America,Very high,Continental,Americas,0.312611844,0.395505668,0.317070107,0.401884753,Moderate,0.289564952,0.423399758,0.293462588,Moderate,0.424067688,0.342607434,0.457359066,0.351296045,0.463248432,Moderate,0.301336705,0.435025296,0.306550166,Moderate,0.438666
268,Dezhou,China,Asia,High,Arid,Western Pacific,0.168361646,0.247670573,0.145712598,0.217656394,Very Low,0.250291829,0.336011145,0.228007237,Low,0.304545328,0.25361325,0.334280172,0.235007233,0.307449185,Low,0.262240975,0.317727175,0.242985108,Low,0.303041711
269,Dhaka,Bangladesh,Asia,Medium,Tropical,South-East Asia,0.28065197,0.411342404,0.190139945,0.309563746,Low,0.383349914,0.419538849,0.296405781,Low,0.334896878,0.378772774,0.447237536,0.282363361,0.344771821,Low,0.292023789,0.42869099,0.216058192,Low,0.3240726
270,Dhanbad,India,Asia,Medium,Tropical,South-East Asia,0.270615588,0.411694301,0.25490485,0.404320056,Moderate,0.2612337,0.328249461,0.265116836,Low,0.357644011,0.349840719,0.391319921,0.349377041,0.391434363,Low,0.308472693,0.472849145,0.310795667,Moderate,0.484714694
271,Dharwad,India,Asia,Medium,Tropical,South-East Asia,0.292710716,0.337880492,0.146610513,0.338517098,Low,0.37154734,0.406306905,0.37212867,Moderate,0.406474441,0.335349154,0.388825019,0.252323966,0.390241611,Low,0.393992429,0.485582479,0.394305088,Moderate,0.486557536
272,Dhule,India,Asia,Medium,Arid,South-East Asia,0.227902199,0.302218282,0.171071631,0.301993563,Low,0.271748306,0.308538343,0.272194525,Low,0.309362418,0.282684453,0.334198888,0.282615043,0.334692888,Low,0.261497584,0.299573824,0.262096388,Low,0.300118069
273,Dili,Timor-Leste,Asia,Medium,Tropical,South-East Asia,0.334572948,0.389902869,0.310448104,0.36787693,Low,0.337889626,0.400992257,0.324679722,Low,0.379905452,0.312000175,0.382403016,0.300353366,0.361545745,Low,0.311701221,0.345321535,0.298877763,Low,0.324811282
274,Dimapur,India,Asia,Medium,Temperate,South-East Asia,0.29871776,0.464414455,0.23601347,0.487350429,Moderate,0.430183868,0.5405864,0.470075845,High,0.59408814,0.39997012,0.515597473,0.430837936,0.547121748,High,0.389796927,0.504591961,0.318658023,High,0.544899419
275,Dindigul,India,Asia,Medium,Arid,South-East Asia,0.220555442,0.233863092,0.109982373,0.233438986,Very Low,0.347429481,0.381117067,0.345644416,Low,0.378775833,0.352597526,0.432789238,0.351459399,0.430975161,Moderate,0.368649101,0.408701899,0.367053956,Moderate,0.408096871
276,Diyarbakir,Turkey,Asia,Very high,Temperate,Europe,0.183994251,0.243362428,0.177106049,0.242708852,Very Low,0.224448957,0.298711947,0.217978021,Very Low,0.291615725,0.22412013,0.278348478,0.219162371,0.273558428,Very Low,0.213602228,0.274463994,0.207851203,Very Low,0.265750804
277,Djibouti,Djibouti,Africa,Low,Arid,Eastern Mediterranean,0.041567976,0.042019634,0.021557611,0.043520965,Exceptionally Low,0.082710549,0.089498796,0.087795839,Exceptionally Low,0.095023115,0.093915349,0.100363244,0.09920036,0.105919588,Exceptionally Low,0.084149157,0.091594311,0.089211011,Exceptionally Low,0.097135018
278,Dnipro,Ukraine,Europe,High,Continental,Europe,0.214725281,0.343071651,0.213007609,0.343485099,Low,0.259262759,0.397307382,0.257626581,Low,0.396580276,0.261993589,0.40804623,0.262434893,0.40998585,Moderate,0.277879175,0.42517501,0.279139783,Moderate,0.426873903
279,Doha,Qatar,Asia,Very high,Arid,Eastern Mediterranean,0.042225287,0.048952192,0.027857707,0.043526835,Exceptionally Low,0.07977694,0.083490543,0.074149534,Exceptionally Low,0.077174881,0.086596541,0.088837858,0.073509911,0.075410483,Exceptionally Low,0.083965982,0.087110107,0.071602991,Exceptionally Low,0.075511013
280,Donetsk,Ukraine,Europe,High,Continental,Europe,0.200843084,0.420961975,0.193756014,0.422138236,Moderate,0.358746811,0.506190745,0.358447428,High,0.505371034,0.303854943,0.509381546,0.305982439,0.509996095,High,0.328959082,0.548396599,0.328882831,High,0.547225704
281,Dongying Qu,China,Asia,High,Continental,Western Pacific,0.113570366,0.154617059,0.110459925,0.150418279,Exceptionally Low,0.183222464,0.226196556,0.228749896,Very Low,0.262412694,0.206057875,0.303891139,0.202218245,0.301153606,Low,0.195660994,0.276930917,0.191621174,Very Low,0.272154771
282,Dortmund,Germany,Europe,Very high,Temperate,Europe,0.396804629,0.449057452,0.272921285,0.448612614,Moderate,0.391510152,0.494556783,0.391075037,Moderate,0.494447786,0.379273627,0.447601337,0.378899059,0.447525741,Moderate,0.385145133,0.478433349,0.381708904,Moderate,0.478799587
283,Douala,Cameroon,Africa,Medium,Tropical,Africa,0.187765305,0.218693522,0.172938011,0.212162292,Very Low,0.205479058,0.291199897,0.206792582,Very Low,0.293204763,0.191690491,0.241178481,0.192881314,0.242151341,Very Low,0.190036137,0.24924031,0.190697795,Very Low,0.250556124
284,Drachevo,Macedonia,Europe,High,Arid,Europe,0.286501653,0.466622248,0.282984401,0.461070784,Moderate,0.350778924,0.452845844,0.347269058,Moderate,0.452902595,0.379408699,0.47977,0.379973035,0.480529867,Moderate,0.334984287,0.394366468,0.337412296,Low,0.395557585
285,Dresden,Germany,Europe,Very high,Continental,Europe,0.372187844,0.441769514,0.273519225,0.440942765,Moderate,0.379655254,0.471492029,0.378859722,Moderate,0.470238045,0.352989978,0.449493232,0.352570229,0.449692369,Moderate,0.355474384,0.489693087,0.355120313,Moderate,0.488569268
286,Dubai,United Arab Emirates,Asia,Very high,Arid,Eastern Mediterranean,0.061555079,0.086903842,0.039870729,0.059600524,Exceptionally Low,0.097767645,0.101639234,0.100326119,Exceptionally Low,0.104280063,0.097726673,0.103462186,0.100096596,0.105758895,Exceptionally Low,0.091200387,0.099150207,0.093146797,Exceptionally Low,0.100882873
287,Dublin,Ireland,Europe,Very high,Temperate,Europe,0.283915192,0.335446445,0.203318627,0.319770319,Low,0.344126101,0.404182325,0.33129041,Low,0.390454599,0.327914024,0.373133203,0.311647077,0.359015574,Low,0.332006132,0.410029309,0.315625235,Low,0.393919958
288,Duhok,Iraq,Asia,Medium,Temperate,Eastern Mediterranean,0.167255856,0.200389957,0.125271466,0.19909952,Exceptionally Low,0.222688321,0.306306916,0.222666527,Low,0.305946439,0.181541961,0.243407648,0.181110091,0.24187344,Very Low,0.169388016,0.194133323,0.169372638,Exceptionally Low,0.194051548
289,Durango,Mexico,Latin America and the Caribbean,High,Arid,Americas,0.156173907,0.184780904,0.135206912,0.158263833,Exceptionally Low,0.191643254,0.238715043,0.16902622,Very Low,0.205002685,0.167802987,0.209634715,0.148826306,0.180732038,Exceptionally Low,0.178544843,0.21667879,0.157198989,Exceptionally Low,0.189900612
290,Durban,South Africa,Africa,High,Temperate,Africa,0.308161185,0.419662179,0.292282774,0.415451252,Moderate,0.386418309,0.447278461,0.37474163,Moderate,0.441410373,0.413720932,0.481881078,0.397691926,0.466300183,Moderate,0.418197666,0.476773667,0.401155818,Moderate,0.461326861
291,Durg,India,Asia,Medium,Tropical,South-East Asia,0.164153891,0.250162569,0.141121326,0.179089365,Exceptionally Low,0.26350246,0.325747564,0.261669757,Low,0.319608026,0.291907127,0.333125264,0.289067761,0.326852181,Low,0.268609638,0.331645784,0.266805889,Low,0.331092416
292,Dushanbe,Tajikistan,Asia,Medium,Arid,Europe,0.226898285,0.328297356,0.185052892,0.284209555,Very Low,0.246695484,0.33308543,0.218623206,Very Low,0.286771793,0.258510923,0.339242355,0.217849147,0.28582349,Very Low,0.213913985,0.296640141,0.183604209,Very Low,0.251761346
293,Dusseldorf,Germany,Europe,Very high,Temperate,Europe,0.328424968,0.393330795,0.234618049,0.388140511,Low,0.355359878,0.431188493,0.350879156,Moderate,0.426600295,0.337276462,0.411491643,0.331709393,0.404417875,Moderate,0.333823023,0.438272871,0.328176608,Moderate,0.430810962
294,Edmonton,Canada,Northern America,Very high,Continental,Americas,0.186755967,0.340391196,0.187197839,0.339172371,Low,0.221192468,0.322188193,0.229687002,Low,0.328897029,0.212914278,0.417925054,0.222192324,0.429645964,Moderate,0.213197077,0.336367052,0.220249783,Low,0.345013592
295,El Alto [La Paz],Bolivia,Latin America and the Caribbean,High,Polar,Americas,0.120379023,0.153759653,0.106660074,0.140193491,Exceptionally Low,0.142760005,0.17200402,0.120603955,Exceptionally Low,0.140381927,0.129412733,0.151005081,0.105364069,0.126612763,Exceptionally Low,0.116681567,0.158887617,0.096830821,Exceptionally Low,0.130193515
296,El Mahalla El Kubra,Egypt,Africa,High,Arid,Eastern Mediterranean,0.276910497,0.365834385,0.192585427,0.250084183,Very Low,0.330531273,0.381031145,0.244066407,Very Low,0.268444,0.309168318,0.364733611,0.224677484,0.249288805,Very Low,0.294847582,0.323618354,0.209827836,Very Low,0.226509153
297,Enugu,Nigeria,Africa,Low,Tropical,Africa,0.251503924,0.294584997,0.142822714,0.293795848,Very Low,0.375224378,0.427086071,0.370536085,Moderate,0.435579346,0.297477878,0.337777493,0.296058366,0.343419177,Low,0.306150521,0.373787775,0.299991425,Low,0.37861547
298,Erbil,Iraq,Asia,Medium,Temperate,Eastern Mediterranean,0.085702193,0.142541341,0.08561852,0.142685413,Exceptionally Low,0.145900753,0.182307164,0.145922913,Exceptionally Low,0.182520217,0.152917425,0.212865483,0.153175994,0.213299926,Very Low,0.122250801,0.131976181,0.122221168,Exceptionally Low,0.132180512
299,Erode,India,Asia,Medium,Arid,South-East Asia,0.273803204,0.325500701,0.173688196,0.246053469,Very Low,0.365958342,0.428443567,0.361275873,Moderate,0.424443166,0.37883608,0.43435282,0.373203942,0.428424837,Moderate,0.372883875,0.428744639,0.367796529,Moderate,0.424114605
300,Eskisehir,Turkey,Asia,Very high,Arid,Europe,0.18683564,0.24576445,0.181406971,0.242660964,Very Low,0.230984695,0.310235629,0.227766428,Low,0.307130213,0.2217773,0.287785102,0.219156121,0.28486296,Very Low,0.239293924,0.293983232,0.235312039,Very Low,0.288124515
301,Etah,India,Asia,Medium,Arid,South-East Asia,0.255166327,0.300577491,0.191346518,0.301723414,Low,0.295717646,0.361218047,0.295856198,Low,0.362506887,0.271789877,0.310266889,0.2716762,0.310299624,Low,0.291986762,0.338902152,0.291811679,Low,0.338777836
302,Etawah,India,Asia,Medium,Temperate,South-East Asia,0.307244273,0.371879034,0.228135524,0.366710162,Low,0.333769794,0.405065343,0.330115455,Low,0.399163389,0.3328928,0.41120769,0.329502151,0.405095146,Moderate,0.330717652,0.41850759,0.327576211,Moderate,0.413607007
303,Ettumanoor,India,Asia,Medium,Tropical,South-East Asia,0.413651691,0.490025801,0.206982343,0.489803977,Moderate,0.549002948,0.609027096,0.547317705,Very High,0.606717923,0.559551362,0.608654108,0.558739412,0.607416558,Very High,0.513739881,0.536606479,0.512216049,High,0.53382675
304,Evaton,South Africa,Africa,High,Temperate,Africa,0.221475848,0.331458437,0.207094434,0.303050317,Low,0.273116157,0.372010326,0.252948148,Low,0.338521899,0.273497272,0.380279136,0.251174625,0.341294297,Low,0.272095384,0.384624554,0.248908353,Low,0.344390727
305,Faisalabad,Pakistan,Asia,Medium,Arid,Eastern Mediterranean,0.192689277,0.265945867,0.163834005,0.202541492,Very Low,0.240593129,0.256375366,0.209946949,Very Low,0.22956984,0.26508397,0.278791008,0.220334869,0.238584866,Very Low,0.21815795,0.236169113,0.178401651,Very Low,0.207025154
306,Faiyum,Egypt,Africa,High,Arid,Eastern Mediterranean,0.335239187,0.443711454,0.308046509,0.418205814,Moderate,0.39572386,0.485645603,0.376445036,Moderate,0.45371685,0.408476448,0.488210543,0.385238119,0.451696682,Moderate,0.409080307,0.50300641,0.38567942,Moderate,0.464636877
307,Faizabad,India,Asia,Medium,Temperate,South-East Asia,0.254475482,0.347371054,0.189076449,0.34945004,Low,0.302432243,0.424074366,0.299356883,Moderate,0.41814737,0.376486194,0.495469092,0.373588575,0.494593602,Moderate,0.295998575,0.330200647,0.292170383,Low,0.32533931
308,Fancheng,China,Asia,High,Temperate,Western Pacific,0.145062488,0.222405931,0.122883884,0.192179734,Exceptionally Low,0.25364679,0.353301576,0.219057375,Low,0.307733174,0.286737157,0.356996213,0.250246672,0.313707151,Low,0.28174938,0.35261362,0.243839036,Low,0.301914724
309,Farrukhabad,India,Asia,Medium,Temperate,South-East Asia,0.234617941,0.267193584,0.178105811,0.268369648,Very Low,0.290549089,0.312649266,0.290874725,Low,0.311520816,0.297225274,0.300750224,0.293846958,0.294948236,Very Low,0.316463686,0.396474379,0.31288481,Low,0.393899038
310,Fatehpur,India,Asia,Medium,Temperate,South-East Asia,0.180849993,0.302504772,0.131883095,0.301529676,Low,0.296894869,0.387818709,0.296270709,Low,0.387436257,0.284643334,0.353414864,0.284508923,0.354292883,Low,0.288472807,0.360754397,0.288162165,Low,0.361559099
311,Feira de Santana,Brazil,Latin America and the Caribbean,High,Tropical,Americas,0.250126298,0.292864882,0.181143986,0.196124495,Exceptionally Low,0.280098437,0.349273416,0.241260572,Very Low,0.294946453,0.233261551,0.26396317,0.188637768,0.228441889,Very Low,0.276914471,0.308824651,0.235611712,Very Low,0.253386252
312,Fez,Morocco,Africa,Medium,Temperate,Eastern Mediterranean,0.17257066,0.257568505,0.163499542,0.261374171,Very Low,0.242845487,0.309447781,0.242078005,Low,0.31724624,0.21152576,0.248472805,0.210967957,0.250968316,Very Low,0.237392001,0.287567606,0.243596408,Low,0.305332534
313,Firozabad,India,Asia,Medium,Arid,South-East Asia,0.207017413,0.278673224,0.199980825,0.277124249,Very Low,0.270404364,0.353052792,0.268506157,Low,0.348997759,0.263802054,0.298212266,0.262163854,0.293525429,Very Low,0.274211074,0.322712673,0.272580329,Low,0.320956968
314,Florianópolis,Brazil,Latin America and the Caribbean,High,Temperate,Americas,0.307270329,0.321818394,0.25552454,0.268351596,Very Low,0.341887869,0.35657915,0.292724189,Low,0.306470571,0.329865483,0.343549305,0.283284029,0.295064248,Very Low,0.294034167,0.362778234,0.255673893,Low,0.313246297
315,Fomboni,Comoros,Africa,Medium,Tropical,Africa,0.348357495,0.348357495,0.085872301,0.343489205,Low,0.304016984,0.347883979,0.341252787,Low,0.390643206,0.338754376,0.399821982,0.379143617,0.44666091,Moderate,0.344119697,0.383623195,0.384430194,Moderate,0.429372135
316,Fortaleza,Brazil,Latin America and the Caribbean,High,Tropical,Americas,0.229831165,0.248875424,0.156375046,0.203526172,Very Low,0.286543274,0.329202357,0.244457967,Very Low,0.276726193,0.305767164,0.351554136,0.259431641,0.290649454,Very Low,0.293654938,0.323765888,0.246462714,Very Low,0.261972335
317,Frankfurt am Main,Germany,Europe,Very high,Temperate,Europe,0.407978,0.467131196,0.289866741,0.458871321,Moderate,0.361539352,0.425493007,0.356201247,Moderate,0.419941832,0.356193143,0.450364922,0.350332232,0.443108795,Moderate,0.354204652,0.499901111,0.348929686,Moderate,0.49276372
318,Freetown,Sierra Leone,Africa,Low,Tropical,Africa,0.183613133,0.24839943,0.118976693,0.210244026,Very Low,0.206829276,0.280126203,0.182053151,Very Low,0.230425427,0.196334451,0.253834604,0.189374225,0.238299787,Very Low,0.196548475,0.266136349,0.182394614,Very Low,0.251460967
319,Fresno,United States of America,Northern America,Very high,Arid,Americas,0.219117112,0.254520882,0.225249253,0.263870068,Very Low,0.249780622,0.265709535,0.252397191,Very Low,0.272966298,0.238441215,0.266786103,0.241624618,0.273292066,Very Low,0.22760614,0.256791212,0.230796369,Very Low,0.264110058
320,Fukuoka,Japan,Asia,Very high,Temperate,Western Pacific,0.180363769,0.229167471,0.155808264,0.188819955,Exceptionally Low,0.264518748,0.337291226,0.244186708,Low,0.313605276,0.257853154,0.322195178,0.23208138,0.295025056,Very Low,0.262218527,0.299270555,0.24149938,Very Low,0.280801125
321,Fushun,China,Asia,High,Continental,Western Pacific,0.138844141,0.22584722,0.137897992,0.217429423,Very Low,0.244622191,0.391850922,0.243791501,Low,0.378676038,0.232161003,0.408596411,0.223395535,0.390623021,Low,0.261786934,0.444558913,0.249196173,Moderate,0.415514933
322,Fuxin,China,Asia,High,Continental,Western Pacific,0.166460069,0.248513135,0.157655624,0.234365264,Very Low,0.193100537,0.282244383,0.181292106,Very Low,0.264748041,0.238262689,0.412411733,0.230600427,0.398195712,Low,0.209904831,0.320018662,0.195822408,Low,0.304706828
323,Fuyang,China,Asia,High,Temperate,Western Pacific,0.21642091,0.35138049,0.18142924,0.29539992,Very Low,0.284039676,0.394798536,0.257508144,Low,0.367001409,0.216143856,0.326728642,0.203895859,0.31123229,Low,0.263214792,0.361161674,0.245728481,Low,0.332053528
324,Fuzhou,China,Asia,High,Temperate,Western Pacific,0.189137056,0.247462062,0.159153769,0.208975291,Very Low,0.248632557,0.289981341,0.217476134,Very Low,0.250998772,0.273623767,0.326571172,0.259901228,0.315866541,Low,0.285241467,0.319915287,0.272257236,Very Low,0.299090666
325,Gaborone,Botswana,Africa,High,Arid,Africa,0.233707201,0.274143392,0.233559441,0.274520635,Very Low,0.238333174,0.315100248,0.238190991,Low,0.315372743,0.250708199,0.322251888,0.250145798,0.322120474,Low,0.249740274,0.313164464,0.24924344,Low,0.312995403
326,Ganzhou,China,Asia,High,Temperate,Western Pacific,0.18000352,0.219196451,0.133593642,0.164056497,Exceptionally Low,0.218913847,0.295813318,0.168921872,Very Low,0.227695538,0.247539053,0.290922976,0.210672656,0.248106109,Very Low,0.223905519,0.274749169,0.193187907,Very Low,0.237862903
